X,Y
10,90
11.50602,90.39195
13.024159999999998,90.9636
14.55454,91.70864999999999
16.097279999999998,92.62079999999999
17.6525,93.69375
19.220319999999997,94.92119999999998
20.800859999999997,96.29684999999999
22.39424,97.8144
24.000580000000003,99.46755
25.620000000000005,101.25000000000003
27.252620000000004,103.15545
28.898559999999996,105.1776
30.557940000000006,107.31015
32.23088,109.54679999999999
33.9175,111.88125
35.61792,114.30719999999998
37.33226,116.81835000000001
39.06064,119.40840000000001
40.80318000000001,122.07105000000001
42.56000000000002,124.80000000000004
44.33122,127.58895
46.116960000000006,130.4316
47.91734,133.32165
49.732479999999995,136.2528
51.5625,139.21875
53.407520000000005,142.21320000000003
55.26765999999999,145.22984999999997
57.143040000000006,148.26239999999999
59.03377999999999,151.30454999999995
60.93999999999999,154.34999999999997
62.86181999999999,157.39245
64.79936,160.42559999999997
66.75274,163.44314999999997
68.72207999999999,166.4388
70.7075,169.40625
72.70912,172.3392
74.72706,175.23135000000002
76.76144000000001,178.07639999999998
78.81237999999999,180.86804999999998
80.88000000000001,183.60000000000002
82.96442,186.26595000000003
85.06576000000001,188.8596
87.18414000000001,191.37465000000003
89.31968,193.80480000000003
91.47250000000003,196.14375000000007
93.64272000000001,198.38520000000003
95.83045999999999,200.52285
98.03584000000001,202.5504
100.25898,204.46155
102.5,206.25
104.75902,207.90945
107.03616000000002,209.4336
109.33154,210.81615
111.64527999999999,212.05079999999998
113.97750000000002,213.13125000000002
116.32831999999999,214.0512
118.69785999999999,214.80435
121.08623999999998,215.38439999999997
123.49358,215.78504999999998
125.92,216.00000000000003
128.36561999999998,216.02294999999998
130.83056,215.8476
133.31494,215.46765000000002
135.81888,214.8768
138.3425,214.06875
140.88592,213.03719999999998
143.44926,211.77585000000002
146.03264000000001,210.2784
148.63617999999997,208.53855
151.26,206.55
153.90422,204.30645000000004
156.56896,201.8016
159.25433999999998,199.02915
161.96048,195.9828
164.6875,192.65625
167.43552,189.0432
170.20466,185.13734999999997
172.99504000000002,180.9324
175.80678,176.42205
178.64000000000001,171.6
181.49482,166.45995
184.37135999999998,160.99560000000005
187.26973999999998,155.20065000000002
190.19008,149.06879999999998
193.1325,142.59375
196.09712,135.7692
199.08406,128.58885
202.09344,121.04639999999999
205.12538,113.13554999999998
208.18000000000004,104.84999999999998
211.25742,96.18344999999997
214.35775999999998,87.12959999999995
217.48114,77.68214999999996
220.62768,67.83480000000006
223.7975,57.58125000000006
226.99071999999998,46.91520000000005
230.20746,35.830350000000024
233.44783999999999,24.320400000000017
236.71198,12.37905000000001
240,0
